date,store,department,date,weekly_sales,temperature_c,fuel_price_usd_per_l,unemployment,type_A,type_B,is_holiday_False,is_holiday_True,year,month,week,max,min,mean,median,std
2010-02-05,1,1,2010-02-05,24924.5,5.727777777777779,0.6794508388787476,8.106,1,0,1,0,2010,2,5,57258.43,15984.24,23491.755,18826.14,11836.469192650082
2010-02-05,4,9,2010-02-05,21654.54,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,50838.74,20225.33,28856.843333333334,27619.385000000002,8222.067191248565
2010-02-05,4,8,2010-02-05,71562.58,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,71817.79,62358.61,66521.65166666666,65534.225000000006,3170.6510415193766
2010-02-05,4,17,2010-02-05,20612.43,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,20612.43,12687.93,16334.116666666667,16398.265,1999.1904375172985
2010-02-05,4,16,2010-02-05,7437.73,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,51812.8,2746.76,21340.98083333333,16425.565,16919.12274337825
2010-02-05,4,14,2010-02-05,28027.75,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,31926.59,21617.94,26042.132500000003,25961.215,3050.240897139781
2010-02-05,4,13,2010-02-05,75841.39,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,76386.93,63797.76,69462.05666666666,68102.29999999999,4384.900858996043
2010-02-05,4,10,2010-02-05,34932.26,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,36672.95,28722.69,33069.47083333333,33985.384999999995,2744.6329916980562
2010-02-05,13,60,2010-02-05,985.6,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,1742.4,818.4,1044.3500000000001,950.4,277.4198803258339
2010-02-05,2,82,2010-02-05,21581.79,4.549999999999999,0.6794508388787476,8.324,1,0,1,0,2010,2,5,30558.95,19551.6,22314.37833333333,21664.59,2940.051507779578
2010-02-05,13,83,2010-02-05,6138.28,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,7174.51,3153.92,5112.179999999999,5143.295,1151.9578271320997
2010-02-05,13,67,2010-02-05,17646.3,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,34047.81,8811.34,15666.849166666667,13376.099999999999,6541.598087681158
2010-02-05,13,74,2010-02-05,31533.3,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,39692.93,23182.78,31076.599999999995,30083.44,4240.305095749168
2010-02-05,2,81,2010-02-05,32543.64,4.549999999999999,0.6794508388787476,8.324,1,0,1,0,2010,2,5,34041.09,28776.89,31914.095,32102.27,1511.1280326028598
2010-02-05,13,79,2010-02-05,67129.45,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,67129.45,52702.25,60249.42833333334,59033.225000000006,4597.0261318948615
2010-02-05,13,80,2010-02-05,18369.14,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,19405.58,17000.47,18146.099166666667,18176.525,727.225402939873
2010-02-05,2,80,2010-02-05,27416.54,4.549999999999999,0.6794508388787476,8.324,1,0,1,0,2010,2,5,28179.57,23099.19,26089.310833333333,26254.21,1479.6167382035012
2010-02-05,13,81,2010-02-05,32015.72,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,34431.48,27195.59,31671.060833333333,32539.135000000002,2479.3951935885825
2010-02-05,13,71,2010-02-05,16990.6,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,16990.6,5898.48,10506.8075,10528.645,2922.58584083941
2010-02-05,2,97,2010-02-05,41686.06,4.549999999999999,0.6794508388787476,8.324,1,0,1,0,2010,2,5,43393.52,35266.64,40757.9975,41342.509999999995,2661.0077804953557
2010-02-05,13,19,2010-02-05,3893.71,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,6010.0,3105.68,4065.4025,3874.925,766.6664216905077
2010-02-05,13,18,2010-02-05,7199.22,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,78503.17,-4.38,15303.815833333332,4107.125,23772.88191555452
2010-02-05,4,11,2010-02-05,30263.01,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,37394.26,20343.66,26691.701666666664,26410.905,5388.663814552704
2010-02-05,4,12,2010-02-05,8245.06,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,9966.61,4344.71,8488.161666666667,8913.075,1691.1908564936962
2010-02-05,13,59,2010-02-05,1472.5,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,5180.27,819.97,1599.5566666666666,1087.92,1296.3732763110067
2010-02-05,4,5,2010-02-05,48602.55,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,72434.86,31085.72,44187.74,41090.255000000005,11231.819483690884
2010-02-05,4,4,2010-02-05,59554.57,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,59554.57,54037.74,56494.71166666667,56591.1,1664.667867833391
2010-02-05,1,67,2010-02-05,8414.14,5.727777777777779,0.6794508388787476,8.106,1,0,1,0,2010,2,5,17902.17,4441.06,7571.980833333334,6282.24,3558.939315793293
2010-02-05,27,38,2010-02-05,48683.49,-2.6722222222222216,0.7803646104384993,8.237,1,0,1,0,2010,2,5,48683.49,37248.39,41454.015,40729.515,3393.6650339379003
2010-02-05,19,24,2010-02-05,6099.86,-6.133333333333333,0.7803646104384993,8.35,1,0,1,0,2010,2,5,10005.05,2526.06,6380.435833333333,6225.245,1956.0938464215703
2010-02-05,4,67,2010-02-05,14670.81,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,24942.12,6817.79,11744.291666666666,10511.765,4551.875085747797
2010-02-05,39,31,2010-02-05,1556.96,6.833333333333332,0.6794508388787476,8.554,1,0,1,0,2010,2,5,4717.96,1163.5,1851.9825,1627.8,923.8824737253209
2010-02-05,1,7,2010-02-05,21084.08,5.727777777777779,0.6794508388787476,8.106,1,0,1,0,2010,2,5,47406.83,16481.79,24264.273333333334,20770.85,10344.354382479129
2010-02-05,31,94,2010-02-05,61298.99,3.916666666666665,0.6794508388787476,8.324,1,0,1,0,2010,2,5,70293.25,53100.75,62844.55333333334,63070.34,4865.704497576207
2010-02-05,1,36,2010-02-05,120.0,5.727777777777779,0.6794508388787476,8.106,1,0,1,0,2010,2,5,5850.0,120.0,1537.0833333333333,1130.75,1575.4173881767642
2010-02-05,1,29,2010-02-05,7024.95,5.727777777777779,0.6794508388787476,8.106,1,0,1,0,2010,2,5,7024.95,3425.58,5040.591666666666,5154.55,902.757966545079
2010-02-05,27,93,2010-02-05,64944.45,-2.6722222222222216,0.7803646104384993,8.237,1,0,1,0,2010,2,5,69618.86,37969.49,56580.09583333333,60444.895000000004,9610.906937054246
2010-02-05,39,67,2010-02-05,11778.8,6.833333333333332,0.6794508388787476,8.554,1,0,1,0,2010,2,5,21340.71,7062.2,10527.078333333333,8840.615,3978.062170428834
2010-02-05,1,40,2010-02-05,66780.63,5.727777777777779,0.6794508388787476,8.106,1,0,1,0,2010,2,5,67000.83,56751.6,61534.145833333336,61688.945,3364.524972326456
2010-02-05,4,6,2010-02-05,10216.17,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,12310.44,4760.8,8281.24,7422.379999999999,2472.92003351577
2010-02-05,13,4,2010-02-05,42482.68,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,44431.39,38712.93,42273.82833333333,42040.03,1884.968826816427
2010-02-05,4,2,2010-02-05,91481.24,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,93677.66,83294.12,88569.65083333333,88229.855,3248.1812890137903
2010-02-05,13,5,2010-02-05,53089.8,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,103531.25,34784.77,59289.800833333335,53153.125,20939.53219196797
2010-02-05,13,6,2010-02-05,7008.52,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,13667.94,4380.95,8831.844166666668,8420.38,2584.9407864800946
2010-02-05,13,7,2010-02-05,35711.89,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,116917.13,23086.65,56180.52916666667,45851.51,25823.459726440593
2010-02-05,13,8,2010-02-05,40372.38,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,40820.32,35071.44,37648.934166666666,37131.41499999999,1775.070180801867
2010-02-05,4,1,2010-02-05,38724.42,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,75535.18,24769.54,36078.10333333333,33147.325,14300.461864423267
2010-02-05,13,3,2010-02-05,21946.62,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,49061.8,14332.61,23553.504166666666,18453.45,11093.206370994047
2010-02-05,13,9,2010-02-05,26597.1,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,73121.41,19136.34,41069.676666666666,40038.979999999996,17785.81681187433
2010-02-05,13,11,2010-02-05,21854.91,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,28148.83,17590.76,22366.995,22293.684999999998,3310.5418356969913
2010-02-05,13,12,2010-02-05,6825.17,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,10050.91,5011.41,7687.404166666666,8083.41,1545.2361409445034
2010-02-05,13,13,2010-02-05,51049.68,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,53915.97,46320.91,49181.450833333336,48687.89,2569.260805256351
2010-02-05,13,14,2010-02-05,26778.0,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,34007.8,20922.18,24689.001666666667,24172.440000000002,4014.3595323217405
2010-02-05,13,16,2010-02-05,3333.44,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,63794.52,3333.44,21483.356666666667,11610.75,20442.54931274221
2010-02-05,2,98,2010-02-05,14693.62,4.549999999999999,0.6794508388787476,8.324,1,0,1,0,2010,2,5,16610.9,11429.63,14009.203333333333,14044.67,1541.2991357313028
2010-02-05,13,17,2010-02-05,22419.66,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,22419.66,15559.79,18648.7575,17980.2,2230.160085241027
2010-02-05,13,10,2010-02-05,22422.77,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,34993.32,22422.77,29299.926666666666,28993.864999999998,4406.798100184291
2010-02-05,13,2,2010-02-05,75275.87,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,79528.58,69822.04,75319.345,75282.035,2711.4943302021097
2010-02-05,4,3,2010-02-05,16166.02,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,44683.74,9791.98,16431.04333333333,13840.369999999999,9455.607812054595
2010-02-05,13,1,2010-02-05,46761.9,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,139870.9,24627.06,45723.11666666667,34236.31,30743.341475417918
2010-02-05,4,7,2010-02-05,37239.25,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,90879.23,27176.08,43075.24333333333,37318.055,17227.61019924614
2010-02-05,13,58,2010-02-05,9555.0,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,12288.0,3373.0,8660.5,9306.5,2253.3962045200687
2010-02-05,2,83,2010-02-05,6263.43,4.549999999999999,0.6794508388787476,8.324,1,0,1,0,2010,2,5,7533.09,4305.21,5829.626666666667,5741.125,1026.389991433642
2010-02-05,13,56,2010-02-05,1871.94,-0.2611111111111104,0.7042830235033987,8.316,1,0,1,0,2010,2,5,23901.4,287.77,6562.345833333333,3187.955,7601.422743761327
2010-02-05,6,16,2010-02-05,11819.17,4.683333333333334,0.6794508388787476,7.258999999999999,1,0,1,0,2010,2,5,60799.86,4151.79,28866.405833333334,26503.85,21248.213449757674
2010-02-05,6,17,2010-02-05,20550.99,4.683333333333334,0.6794508388787476,7.258999999999999,1,0,1,0,2010,2,5,20550.99,13916.96,17200.670833333334,17073.95,1925.7614604309283
2010-02-05,4,46,2010-02-05,34577.63,6.533333333333332,0.6863193154770554,8.623,1,0,1,0,2010,2,5,42374.0,32163.04,35958.59083333333,35476.52,3211.1002515350297
